Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,Total_Quantity,Current_Price
3932-1,Andrea's Stage,2012,Friends,Modern day,Music,Normal,Box,2,Retail,87.0,1.0,3597.0,3.3,2.0,20.0
3933-1,Olivia's Invention Workshop,2012,Friends,Modern day,Science,Normal,Box,2,Retail,81.0,1.0,4047.0,3.6,3.0,19.99
3936-1,Emma's Fashion Design Studio,2012,Friends,Modern day,Art,Normal,Box,2,Retail,79.0,1.0,3692.0,3.6,1.0,17.99
3939-1,Mia's Bedroom,2012,Friends,Modern day,Bedrooms,Normal,Box,2,Retail,85.0,1.0,3516.0,3.2,1.0,25.0
4200-1,Mining 4x4,2012,City,Modern day,Mining,Normal,Box,2,Retail,102.0,1.0,9316.0,3.8,4.0,8.0
4201-1,Loader and Tipper,2012,City,Modern day,Mining,Normal,Box,4,Retail,139.0,2.0,9101.0,3.6,1.0,30.0
4202-1,Mining Truck,2012,City,Modern day,Mining,Normal,Box,2,Retail,269.0,1.0,5651.0,3.8,1.0,63.0
4203-1,Excavator Transporter,2012,City,Modern day,Mining,Normal,Box,4,Retail,305.0,2.0,6987.0,3.8,1.0,73.1527
4204-1,The Mine,2012,City,Modern day,Mining,Normal,Box,8,Retail,748.0,4.0,6843.0,4.3,7.0,168.0806
4205-1,Off-road Command Center,2012,City,Modern day,Forest Police,Normal,Box,6,Retail - limited,403.0,3.0,2052.0,4.1,1.0,59.99
4206-2,Recycling Truck,2012,City,Modern day,Great Vehicles,Normal,Box,0,Retail - limited,297.0,3.0,5920.0,3.9,1.0,65.0
4207-1,City Garage,2012,City,Modern day,Town,Normal,Box,10,Retail - limited,933.0,5.0,3719.0,4.1,3.0,155.0
4209-1,Fire Plane,2012,City,Modern day,Forest Fire,Normal,Box,4,Retail,522.0,3.0,4332.0,3.9,2.0,78.2
4430-1,Fire Transporter,2012,City,Modern day,Forest Fire,Normal,Box,6,Retail - limited,522.0,3.0,2204.0,3.8,1.0,129.99
4431-1,Ambulance,2012,City,Modern day,Great Vehicles,Normal,Box,2,Retail,199.0,3.0,9057.0,4.1,6.0,70.0
4432-1,Garbage Truck,2012,City,Modern day,Great Vehicles,Normal,Box,2,Retail,208.0,2.0,14662.0,4.1,1.0,93.0029
4433-1,Dirt Bike Transporter,2012,City,Modern day,Great Vehicles,Normal,Box,4,Retail,201.0,2.0,10714.0,3.9,6.0,55.5326
4434-1,Dump Truck,2012,City,Modern day,Great Vehicles,Normal,Box,2,Retail,222.0,2.0,8083.0,4.0,4.0,52.5
4435-1,Car and Caravan,2012,City,Modern day,Great Vehicles,Normal,Box,2,Retail,218.0,2.0,8897.0,3.9,1.0,41.0
4436-1,Patrol Car,2012,City,Modern day,Forest Police,Normal,Box,2,Retail,97.0,2.0,10510.0,3.6,3.0,23.0
4437-1,Police Pursuit,2012,City,Modern day,Forest Police,Normal,Box,2,Retail,129.0,2.0,8758.0,3.7,2.0,18.6949
4439-1,Heavy-Lift Helicopter,2012,City,Modern day,Forest Police,Normal,Box,4,Retail,393.0,3.0,7818.0,4.0,1.0,124.0
4440-1,Forest Police Station,2012,City,Modern day,Forest Police,Normal,Box,10,Retail,633.0,5.0,6205.0,4.0,3.0,130.131
4526-1,Batman,2012,DC Comics Super Heroes,Licensed,Buildable Figures,Normal,Box,2,Retail,40.0,,2793.0,3.2,1.0,28.4901
4528-1,Green Lantern,2012,DC Comics Super Heroes,Licensed,Buildable Figures,Normal,Box,5,Retail,38.0,,1816.0,3.3,1.0,16.0
4597-1,Captain America,2012,Marvel Super Heroes,Licensed,Buildable Figures,Normal,Box,2,Retail,44.0,,1964.0,3.1,1.0,42.0
5883-1,Tower Takedown,2012,Dino,Action/Adventure,,Normal,Box,2,Retail,136.0,1.0,3976.0,3.8,1.0,49.99
5884-1,Raptor Chase,2012,Dino,Action/Adventure,,Normal,Box,2,Retail,259.0,2.0,3470.0,4.0,4.0,76.491
5885-1,Triceratops Trapper,2012,Dino,Action/Adventure,,Normal,Box,2,Retail,271.0,2.0,3071.0,4.2,1.0,125.0
5886-1,T-Rex Hunter,2012,Dino,Action/Adventure,,Normal,Box,4,Retail,480.0,2.0,2546.0,4.1,2.0,109.99
6222-1,CORE HUNTER,2012,HERO Factory,Constraction,Breakout,Normal,Foil pack,3,Retail,51.0,,1446.0,4.1,1.0,55.55
6227-1,BREEZ,2012,HERO Factory,Constraction,Breakout,Normal,Foil pack,3,Retail,55.0,,1370.0,4.1,1.0,39.9
6230-1,STORMER XL,2012,HERO Factory,Constraction,Breakout,Normal,Box,3,Retail,89.0,,1525.0,3.9,2.0,59.95
6857-1,The Dynamic Duo Funhouse Escape,2012,DC Comics Super Heroes,Licensed,Batman,Normal,Box,4,Retail - limited,380.0,5.0,7842.0,4.0,16.0,79.99
6858-1,Catwoman Catcycle City Chase,2012,DC Comics Super Heroes,Licensed,Batman,Normal,Box,2,Retail,89.0,2.0,13421.0,3.6,17.0,18.354
6860-1,The Batcave,2012,DC Comics Super Heroes,Licensed,Batman,Normal,Box,8,Retail,690.0,5.0,8441.0,4.0,11.0,109.0
6862-2,Superman vs. Power Armor Lex,2012,DC Comics Super Heroes,Licensed,Superman,Normal,Box,0,Retail,207.0,3.0,13586.0,3.9,46.0,27.99
6863-1,Batwing Battle Over Gotham City,2012,DC Comics Super Heroes,Licensed,Batman,Normal,Box,4,Retail,278.0,3.0,8556.0,3.9,24.0,52.99
6864-1,Batmobile and the Two-Face Chase,2012,DC Comics Super Heroes,Licensed,Batman,Normal,Box,6,Retail,531.0,5.0,7738.0,3.9,12.0,88.099
6865-1,Captain America's Avenging Cycle,2012,Marvel Super Heroes,Licensed,The Avengers,Normal,Box,2,Retail,72.0,3.0,11533.0,3.5,23.0,27.0665
6866-1,Wolverine's Chopper Showdown,2012,Marvel Super Heroes,Licensed,X-Men,Normal,Box,4,Retail,199.0,3.0,11321.0,4.1,6.0,200.0
6867-1,Loki's Cosmic Cube Escape,2012,Marvel Super Heroes,Licensed,The Avengers,Normal,Box,4,Retail,181.0,3.0,11509.0,3.8,3.0,50.0
6868-1,Hulk's Helicarrier Breakout,2012,Marvel Super Heroes,Licensed,The Avengers,Normal,Box,4,Retail,389.0,4.0,7885.0,3.7,3.0,74.6558
6869-1,Quinjet Aerial Battle,2012,Marvel Super Heroes,Licensed,The Avengers,Normal,Box,8,Retail,735.0,5.0,8162.0,4.2,7.0,129.0
6873-1,Spider-Man's Doc Ock Ambush,2012,Marvel Super Heroes,Licensed,Ultimate Spider-Man,Normal,Box,4,Retail - limited,295.0,3.0,5205.0,3.6,12.0,52.2591
